5,9,1,3,79
297,2148,1,284,6244
5,9,3,1,1718
297,2148,1,297,6744
5,9,3,1,43
5,9,1,3,59
297,2148,1,284,4550
5,9,1,3,63
297,2148,1,284,6123
5,9,3,1,1656
297,2148,1,297,9950
5,9,1,3,85
297,2148,1,284,5823
5,9,3,1,1766
297,2148,1,297,6483
5,9,1,3,69
5,9,3,1,18
297,2148,1,284,7143
297,2148,1,297,7357
5,9,1,3,249
5,9,3,1,81
297,2148,1,284,6677
297,2148,1,297,8560
5,9,1,3,62
5,9,3,1,21
297,2148,1,284,5361
297,2148,1,297,8011
5,9,1,3,85
5,9,3,1,22
297,2148,1,284,4884
297,2148,1,297,7405
5,9,1,3,90
5,9,3,1,47
297,2148,1,284,5107
297,2148,1,297,7948
5,9,1,3,68
5,9,3,1,22
297,2148,1,284,7286
297,2148,1,297,8645
297,2148,1,284,6359
297,2148,1,297,9402
297,2148,1,297,6193
